service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS422-hbc42fr1-Wdy-02,0,0,0,0,1,0,0,20221104,20221216
BUS422-hbc42wk1-Wdy-02,1,1,1,1,0,0,0,20221107,20221215
BUS422-hbs42sf1-Wdy-02,0,0,0,0,0,0,0,20221125,20221125
BUS422-hbs42sn1-Wdy-02,0,0,0,0,0,0,0,20221111,20221111
BUS422-hbs42sp1-Wdy-02,1,1,1,0,0,0,0,20221121,20221123
BUS422-hbs42sp6-Sa-02,0,0,0,0,0,1,0,20221119,20221126
BUS422-hbs42sp7-Su-02,0,0,0,0,0,0,1,20221120,20221127
BUS422-hbs42sw1-Wdy-02,1,1,1,1,1,0,0,20221104,20221216
BUS422-hbs42sw6-Sa-02,0,0,0,0,0,1,0,20221105,20221217
BUS422-hbs42sw7-Su-02,0,0,0,0,0,0,1,20221106,20221113
Boat-EastBoston-Sa-Fll-22,0,0,0,0,0,1,0,20221105,20221126
Boat-EastBoston-Su-Fll-22,0,0,0,0,0,0,1,20221106,20221127
Boat-EastBoston-Wdy-Fll-22,1,1,1,1,1,0,0,20221104,20221130
Boat-F1-Wdy-Fll-22,1,1,1,1,1,0,0,20221104,20221216
Boat-F4-Sa-Fll-22,0,0,0,0,0,1,0,20221105,20221217
Boat-F4-Su-Fll-22,0,0,0,0,0,0,1,20221106,20221211
Boat-F4-Wdy-Fll-22,1,1,1,1,1,0,0,20221104,20221216
CR-Newburyport-LynnShuttleFll-Snd,0,0,0,0,0,0,1,20221106,20221211
CR-Newburyport-LynnShuttleFll-Std,0,0,0,0,0,1,0,20221105,20221217
CR-Newburyport-LynnShuttleFll-Wkd,1,1,1,1,1,0,0,20221104,20221216
FLL 22-N-Sa-1-S6d,0,0,0,0,0,1,0,20221112,20221217
FLL 22-N-Sa-1-S72,0,0,0,0,0,1,0,20221105,20221217
FLL 22-N-Sa-11-42f43a71,0,0,0,0,0,1,0,20221105,20221105
FLL 22-N-Sa-11-S6d,0,0,0,0,0,1,0,20221105,20221105
FLL 22-N-Sa-5,0,0,0,0,0,1,0,20221112,20221217
FLL 22-N-Sa-6,0,0,0,0,0,1,0,20221105,20221217
FLL 22-N-Su-1-S6d,0,0,0,0,1,0,1,20221113,20221127
FLL 22-N-Su-1-S72,0,0,0,0,0,0,1,20221106,20221211
FLL 22-N-Su-11-42f43a71,0,0,0,0,0,0,1,20221106,20221106
FLL 22-N-Su-11-S6d,0,0,0,0,0,0,1,20221106,20221106
FLL 22-N-Su-5,0,0,0,0,0,0,1,20221113,20221211
FLL 22-N-Su-6,0,0,0,0,0,0,1,20221106,20221211
FLL 22-N-Wdy-1,1,1,1,1,1,0,0,20221104,20221216
FLL 22-N-Wdy-12-42f43a71,1,0,0,0,1,0,0,20221104,20221107
FLL 22-N-Wdy-12-S6d,0,0,0,0,1,0,0,20221202,20221202
FLL 22-N-Wdy-13,1,0,0,0,0,0,0,20221205,20221205
FLL 22-N-Wdy-5,1,1,1,1,1,0,0,20221108,20221216
FLL 22-N-Wdy-6,1,1,1,1,1,0,0,20221104,20221216
FLL 22-N-Wdy-7,1,0,0,0,0,0,0,20221107,20221107
FLL 22-S-Sa-1,0,0,0,0,0,1,0,20221105,20221217
FLL 22-S-Sa-1-S86,0,0,0,0,0,1,0,20221105,20221217
FLL 22-S-Sa-1-S8f,0,0,0,0,0,1,0,20221105,20221217
FLL 22-S-Sa-1-Sb4,0,0,0,0,0,1,0,20221105,20221217
FLL 22-S-Sa-1-Sb6,0,0,0,0,0,1,0,20221105,20221217
FLL 22-S-Sa-1-Sc0,0,0,0,0,0,1,0,20221105,20221217
FLL 22-S-Sa-1-Sc5,0,0,0,0,0,1,0,20221105,20221217
FLL 22-S-Su-1,0,0,0,0,0,0,1,20221106,20221211
FLL 22-S-Su-1-S86,0,0,0,0,0,0,1,20221106,20221211
FLL 22-S-Su-1-S8f,0,0,0,0,0,0,1,20221106,20221211
FLL 22-S-Su-1-Sb4,0,0,0,0,0,0,1,20221106,20221211
FLL 22-S-Su-1-Sb6,0,0,0,0,0,0,1,20221106,20221211
FLL 22-S-Su-1-Sc0,0,0,0,0,0,0,1,20221106,20221211
FLL 22-S-Su-1-Sc5,0,0,0,0,0,0,1,20221106,20221211
FLL 22-S-Wdy-70,0,0,0,1,0,0,0,20221201,20221201
FllSnd,0,0,0,0,0,0,1,20221106,20221211
FllStd,0,0,0,0,0,1,0,20221105,20221217
FllWkd,1,1,1,1,1,0,0,20221104,20221216
FlrWkd,1,1,1,1,1,0,0,20221104,20221216
LRV422-hlb42011-Wdy-01,1,1,1,1,1,0,0,20221104,20221216
LRV422-hlb42016-Sa-01-NGLX,0,0,0,0,0,1,0,20221112,20221217
LRV422-hlb42016-Sa-01-NwnHgsRvdNGLX,0,0,0,0,0,1,0,20221105,20221105
LRV422-hlm42011-Wdy-01,1,1,1,1,1,0,0,20221104,20221216
PRIV422-hpa42011-Wdy-01,1,1,1,1,1,0,0,20221104,20221216
PRIV422-hpj42011-Wdy-01,1,1,1,1,1,0,0,20221104,20221216
PRIV422-hpj42017-Su-01,0,0,0,0,0,0,1,20221106,20221211
RTL422-hmb42l31-Sa-01,1,1,1,1,1,0,0,20221104,20221216
RTL422-hmb42l31-Sa-01-2fc56662,1,1,1,1,0,0,0,20221114,20221117
RTL422-hmo42l31-Sa-01,1,1,1,1,1,0,0,20221104,20221216
RTL422-hms42016-Sa-01,0,0,0,0,0,1,0,20221126,20221217
RTL422-hms42016-Sa-01-50554373,0,0,0,0,0,1,0,20221112,20221112
RTL422-hms42016-Sa-01-BrrJFK,0,0,0,0,0,1,0,20221119,20221119
RTL422-hms42017-Su-01,0,0,0,0,0,0,1,20221124,20221211
RTL422-hms42017-Su-01-50554373,0,0,0,0,0,0,1,20221113,20221113
RTL422-hms42017-Su-01-BrrJFK,0,0,0,0,0,0,1,20221120,20221120
RTL422-hms42l31-Sa-01,1,1,1,1,1,0,0,20221104,20221216
SPR22-N-Su-26,0,0,0,0,0,0,0,20221124,20221124
SPR22-S-Su-78,0,0,0,0,0,0,1,20221106,20221106
ThgD,0,0,0,0,0,0,0,20221124,20221124
VeteransDay-DfrThgD,0,0,0,0,0,0,0,20221111,20221125
