route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
Red-1-0,Red,0,Alewife - Ashmont,,1,10010000,53559346
Red-3-0,Red,0,Alewife - Braintree,,1,10010001,53559585
Red-1-0_70081_70093_0,Red,0,Alewife - Broadway,,4,10010099,52928242-AshmontBwayAshBranchAshmontBwayBtreeBranch0
Red-3-0_70081_70095_0,Red,0,Alewife - Broadway,,4,10010099,52928481-AshmontBwayAshBranchAshmontBwayBtreeBranch0
Red-3-0_70081_70095_2,Red,0,JFK/UMass - Braintree,,4,10010099,52928481-AshmontBwayAshBranchAshmontBwayBtreeBranch2
Red-3-0_70095_70105_0,Red,0,Alewife - JFK/UMass,,4,10010099,52928481-BraintreeJFK0
Red-1-1,Red,1,Ashmont - Alewife,,1,10010100,53559351
Red-3-1,Red,1,Braintree - Alewife,,1,10010101,53559505
Red-1-1_70094_70082_2,Red,1,Broadway - Alewife,,4,10010199,52928247-AshmontBwayAshBranchAshmontBwayBtreeBranch2
Red-3-1_70096_70082_0,Red,1,Braintree - JFK/UMass,,4,10010199,52928401-AshmontBwayAshBranchAshmontBwayBtreeBranch0
Red-3-1_70096_70082_2,Red,1,Broadway - Alewife,,4,10010199,52928401-AshmontBwayAshBranchAshmontBwayBtreeBranch2
Red-3-1_70105_70096_2,Red,1,JFK/UMass - Alewife,,4,10010199,52928401-BraintreeJFK2
Mattapan-_-0,Mattapan,0,Ashmont - Mattapan,,1,10011000,52554918
Mattapan-_-1,Mattapan,1,Mattapan - Ashmont,,1,10011100,52554916
Orange-3-0,Orange,0,Oak Grove - Forest Hills,,1,10020000,53244711
Orange-3-1,Orange,1,Forest Hills - Oak Grove,,1,10020100,53244830
Green-B-812-0,Green-B,0,Government Center - Boston College,,1,10032000,53126110-NoGLX
Green-B-816-0_70512_70502_2,Green-B,0,Lechmere - Boston College,,4,10032099,53126208-NoGLX2
Green-B-812-1,Green-B,1,Boston College - Government Center,,1,10032100,53126109-NoGLX
Green-B-816-1_70501_70511_0,Green-B,1,Boston College - Lechmere,,4,10032199,53126117-NoGLX0
Green-C-832-0,Green-C,0,Government Center - Cleveland Circle,,1,10033000,53126184-NoGLX
Green-C-836-0_70512_70502_2,Green-C,0,Lechmere - Cleveland Circle,,4,10033099,53126190-NoGLX2
Green-C-832-1,Green-C,1,Cleveland Circle - Government Center,,1,10033100,53126185-NoGLX
Green-C-836-1_70501_70511_0,Green-C,1,Cleveland Circle - Lechmere,,4,10033199,53126191-NoGLX0
Green-D-855-0,Green-D,0,Union Square - Riverside,,1,10034000,53126282-NoGLX
Green-D-855-0_70169_70161_0,Green-D,0,Union Square - Newton Highlands,,4,10034099,53128750-NewtonHighlandsRiversideNoGLX0
Green-D-856-0_70512_70502_2,Green-D,0,Lechmere - Riverside,,4,10034099,53126284-NoGLX2
Green-D-855-1,Green-D,1,Riverside - Union Square,,1,10034100,53126281-NoGLX
Green-D-855-1_70160_70168_2,Green-D,1,Newton Highlands - Union Square,,4,10034199,53128541-NewtonHighlandsRiversideNoGLX2
Green-D-856-1_70501_70511_0,Green-D,1,Riverside - Lechmere,,4,10034199,53126283-NoGLX0
Green-E-886-0_70512_70502_2,Green-E,0,Lechmere - Heath Street,,1,10035096,53126421-NoGLX2
Green-E-886-1_70501_70511_0,Green-E,1,Heath Street - Lechmere,,1,10035196,53126206-NoGLX0
Blue-6-0,Blue,0,Wonderland - Bowdoin,,1,10040000,53398105
