from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer,from_trip_id,to_trip_id
121,70096,1,,,,,,52928401-BraintreeJFK1,52928401-BraintreeJFK2
121,70096,1,,,,,,52928402-BraintreeJFK1,52928402-BraintreeJFK2
121,70096,1,,,,,,52928403-BraintreeJFK1,52928403-BraintreeJFK2
121,70096,1,,,,,,52928404-BraintreeJFK1,52928404-BraintreeJFK2
121,70096,1,,,,,,52928405-BraintreeJFK1,52928405-BraintreeJFK2
121,70096,1,,,,,,52928406-BraintreeJFK1,52928406-BraintreeJFK2
121,70096,1,,,,,,52928407-BraintreeJFK1,52928407-BraintreeJFK2
121,70096,1,,,,,,52928408-BraintreeJFK1,52928408-BraintreeJFK2
121,70096,1,,,,,,52928409-BraintreeJFK1,52928409-BraintreeJFK2
121,70096,1,,,,,,52928410-BraintreeJFK1,52928410-BraintreeJFK2
121,70096,1,,,,,,52928411-BraintreeJFK1,52928411-BraintreeJFK2
121,70096,1,,,,,,52928412-BraintreeJFK1,52928412-BraintreeJFK2
121,70096,1,,,,,,52928413-BraintreeJFK1,52928413-BraintreeJFK2
121,70096,1,,,,,,52928414-BraintreeJFK1,52928414-BraintreeJFK2
121,70096,1,,,,,,52928415-BraintreeJFK1,52928415-BraintreeJFK2
121,70096,1,,,,,,52928416-BraintreeJFK1,52928416-BraintreeJFK2
121,70096,1,,,,,,52928417-BraintreeJFK1,52928417-BraintreeJFK2
121,70096,1,,,,,,52928418-BraintreeJFK1,52928418-BraintreeJFK2
121,70096,1,,,,,,52928419-BraintreeJFK1,52928419-BraintreeJFK2
121,70096,1,,,,,,52928420-BraintreeJFK1,52928420-BraintreeJFK2
121,70096,1,,,,,,52928421-BraintreeJFK1,52928421-BraintreeJFK2
121,70096,1,,,,,,52928422-BraintreeJFK1,52928422-BraintreeJFK2
121,70096,1,,,,,,52928423-BraintreeJFK1,52928423-BraintreeJFK2
121,70096,1,,,,,,52928424-BraintreeJFK1,52928424-BraintreeJFK2
121,70096,1,,,,,,52928425-BraintreeJFK1,52928425-BraintreeJFK2
121,70096,1,,,,,,52928426-BraintreeJFK1,52928426-BraintreeJFK2
121,70096,1,,,,,,52928427-BraintreeJFK1,52928427-BraintreeJFK2
121,70096,1,,,,,,52928428-BraintreeJFK1,52928428-BraintreeJFK2
121,70096,1,,,,,,52928429-BraintreeJFK1,52928429-BraintreeJFK2
121,70096,1,,,,,,52928430-BraintreeJFK1,52928430-BraintreeJFK2
121,70096,1,,,,,,52928431-BraintreeJFK1,52928431-BraintreeJFK2
121,70096,1,,,,,,52928432-BraintreeJFK1,52928432-BraintreeJFK2
121,70096,1,,,,,,52928433-BraintreeJFK1,52928433-BraintreeJFK2
121,70096,1,,,,,,52928434-BraintreeJFK1,52928434-BraintreeJFK2
121,70096,1,,,,,,52928435-BraintreeJFK1,52928435-BraintreeJFK2
121,70096,1,,,,,,52928436-BraintreeJFK1,52928436-BraintreeJFK2
121,70096,1,,,,,,52928437-BraintreeJFK1,52928437-BraintreeJFK2
121,70096,1,,,,,,52928438-BraintreeJFK1,52928438-BraintreeJFK2
121,70096,1,,,,,,52928439-BraintreeJFK1,52928439-BraintreeJFK2
121,70096,1,,,,,,52928440-BraintreeJFK1,52928440-BraintreeJFK2
121,70096,1,,,,,,52928441-BraintreeJFK1,52928441-BraintreeJFK2
121,70096,1,,,,,,52928442-BraintreeJFK1,52928442-BraintreeJFK2
121,70096,1,,,,,,52928443-BraintreeJFK1,52928443-BraintreeJFK2
